Player,PID,Pos,Week,Tm,Cmp,Att,PassYds,PassTD,Int,Sacked,YardsLostSack,PassLng,Rate,Att,RushYards,RushTD,RushLng,Tgt,Rec,RecYds,RecTD,RecLng,Fmb,FL,Snap,Snap%,PprFP
Hunter Henry,HenrHu00,TE,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,22,0,22,0,0,50,64%,
Tyquan Thornton,ThorTy00,WR,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0,61,78%,
Jonnu Smith,SmitJo01,TE,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,10,0,7,0,0,50,64%,
Nelson Agholor,AghoNe00,WR,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0,19,24%,
Kendrick Bourne,BourKe00,WR,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,54,69%,
DeVante Parker,ParkDe01,WR,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,1,1%,
Zach Wilson,WilsZa00,QB,8,NYJ,20,41,355,2,3,2,19,63,64.6,1,2,0,2,0,0,0,0,0,0,0,59,100%,
Michael Carter,CartMi03,RB,8,NYJ,0,0,0,0,0,0,0,0,,7,26,0,11,7,4,35,0,17,0,0,33,56%,
James Robinson,RobiJa00,RB,8,NYJ,0,0,0,0,0,0,0,0,,5,17,0,7,1,0,0,0,0,0,0,13,22%,
Ty Johnson,JohnTy02,RB,8,NYJ,0,0,0,0,0,0,0,0,,2,6,0,4,2,0,0,0,0,0,0,19,32%,
Garrett Wilson,WilsGa00,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,115,0,54,0,0,52,88%,
Tyler Conklin,ConkTy00,TE,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,79,2,27,0,0,44,75%,
Denzel Mims,MimsDe00,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,76,0,63,0,0,44,75%,
C.J. Uzomah,UzomC.00,TE,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,27,0,27,0,0,37,63%,
Jeff Smith,SmitJe03,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,23,0,23,0,0,13,22%,
Elijah Moore,MoorEl00,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,10,17%,
Braxton Berrios,BerrBr00,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,30,51%,
Kenny Pickett,PickKe00,QB,8,PIT,25,38,191,0,1,6,38,25,66.9,7,37,0,11,0,0,0,0,0,2,1,76,100%,
Najee Harris,HarrNa00,RB,8,PIT,1,1,4,0,0,0,0,4,83.3,8,32,0,18,6,6,26,0,9,0,0,54,71%,
Chase Claypool,ClayCh01,WR,8,PIT,1,1,1,1,0,0,0,1,118.7,0,0,0,0,6,4,45,0,25,0,0,61,80%,
Jaylen Warren,WarrJa01,RB,8,PIT,0,0,0,0,0,0,0,0,,6,50,0,19,3,3,25,0,15,0,0,22,29%,
Steven Sims,SimsSt00,WR,8,PIT,0,0,0,0,0,0,0,0,,2,21,0,11,3,2,-1,0,2,0,0,11,14%,
Pat Freiermuth,FreiPa00,TE,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,57,0,21,0,0,47,62%,
Diontae Johnson,JohnDi01,WR,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,35,0,14,0,0,72,95%,
Derek Watt,WattDe00,FB,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,1,5,0,0,3,4%,
Zach Gentry,GentZa00,TE,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,29,38%,
George Pickens,PickGe00,WR,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,65,86%,
Jalen Hurts,HurtJa00,QB,8,PHI,19,28,285,4,0,3,18,43,140.6,2,10,0,8,0,0,0,0,0,0,0,46,81%,
Gardner Minshew II,MinsGa00,QB,8,PHI,1,2,23,0,0,0,0,23,91.7,1,-1,0,-1,0,0,0,0,0,0,0,11,19%,
Miles Sanders,SandMi01,RB,8,PHI,0,0,0,0,0,0,0,0,,9,78,1,21,0,0,0,0,0,0,0,29,51%,
Boston Scott,ScotBo02,RB,8,PHI,0,0,0,0,0,0,0,0,,7,21,0,8,0,0,0,0,0,0,0,13,23%,
Kenneth Gainwell,GainKe00,RB,8,PHI,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,8,0,8,0,0,14,25%,
A.J. Brown,BrowAJ00,WR,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,3,156,3,43,0,0,39,68%,
Dallas Goedert,GoedDa00,TE,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,64,0,17,0,0,42,74%,
Zach Pascal,PascZa00,WR,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,57,1,34,0,0,23,40%,
DeVonta Smith,SmitDe07,WR,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,23,0,14,0,0,42,74%,
Jack Stoll,StolJa00,TE,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,30,53%,
Quez Watkins,WatkQu00,WR,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,37,65%,
Malik Willis,WillMa12,QB,8,TEN,6,10,55,0,1,3,15,16,35.4,5,12,0,6,0,0,0,0,0,0,0,58,100%,
Derrick Henry ,HenrDe00,RB,8,TEN,0,0,0,0,0,0,0,0,,32,219,2,41,1,1,9,0,9,0,0,43,74%,
Dontrell Hilliard,HillDo00,RB,8,TEN,0,0,0,0,0,0,0,0,,8,83,0,30,1,1,12,0,12,0,0,16,28%,
Robert Woods,WoodRo02,WR,8,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,16,1,1,38,66%,
Austin Hooper,HoopAu00,TE,8,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,27,47%,
Chigoziem Okonkwo,OkonCh00,TE,8,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0,24,41%,
Cody Hollister,HollCo00,WR,8,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,32,55%,
Davis Mills,MillDa02,QB,8,HOU,17,29,152,1,1,3,34,44,69.9,3,8,0,6,0,0,0,0,0,0,0,54,100%,
Rex Burkhead,BurkRe00,RB,8,HOU,0,1,0,0,0,0,0,0,39.6,0,0,0,0,1,1,2,0,2,0,0,10,19%,
Dameon Pierce,PierDa01,RB,8,HOU,0,0,0,0,0,0,0,0,,15,35,0,16,5,3,16,1,7,0,0,42,78%,
Brandin Cooks,CookBr00,WR,8,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,73,0,44,0,0,44,81%,
O.J. Howard,HowaO.00,TE,8,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,24,0,24,0,0,27,50%,
Brevin Jordan,JordBr00,TE,8,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,19,0,16,0,0,30,56%,
Troy Hairston,HairTr00,FB,8,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0,5,0,0,13,24%,
Phillip Dorsett,DorsPh00,WR,8,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,6,0,6,0,0,45,83%,
Jordan Akins,AkinJo00,TE,8,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0,14,26%,
Dare Ogunbowale,OgunDa00,RB,8,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,3,6%,
Taylor Heinicke,HeinTa00,QB,8,WAS,23,31,279,1,1,2,13,42,98.7,6,29,1,9,0,0,0,0,0,0,0,61,100%,
Curtis Samuel,SamuCu00,WR,8,WAS,0,0,0,0,0,0,0,0,,4,29,0,11,4,3,50,0,20,0,0,45,74%,
Brian Robinson Jr.,RobiBr01,RB,8,WAS,0,0,0,0,0,0,0,0,,8,20,0,7,0,0,0,0,0,0,0,15,25%,
Antonio Gibson ,GibsAn00,RB,8,WAS,0,0,0,0,0,0,0,0,,7,19,0,5,7,7,58,1,18,0,0,22,36%,
J.D. McKissic,McKiJ.00,RB,8,WAS,0,0,0,0,0,0,0,0,,2,6,0,4,5,3,14,0,7,0,0,22,36%,
Cam Sims,SimsCa00,WR,8,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,21,0,21,0,0,49,80%,
Armani Rogers,RogeAr00,TE,8,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0,22,36%,
John Bates,BateJo00,TE,8,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,20,33%,
Dax Milne,MilnDa00,WR,8,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0,9,15%,
Terry McLaurin,McLaTe00,WR,8,WAS,0,0,0,0,0,0,0,0,,1,-7,0,-7,8,6,113,0,42,0,0,58,95%,
Sam Ehlinger,EhliSa00,QB,8,IND,17,23,201,0,0,2,12,47,100.1,6,15,0,7,0,0,0,0,0,1,1,58,100%,
Jonathan Taylor,TaylJo02,RB,8,IND,0,0,0,0,0,0,0,0,,16,76,0,27,1,0,0,0,0,1,1,40,69%,
Parris Campbell,CampPa00,WR,8,IND,0,0,0,0,0,0,0,0,,1,28,0,28,2,2,43,0,38,0,0,46,79%,
Nyheim Hines,HineNy00,RB,8,IND,0,0,0,0,0,0,0,0,,5,20,1,9,2,2,29,0,22,0,0,21,36%,
Alec Pierce,PierAl00,WR,8,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,65,0,47,0,0,33,57%,
Michael Pittman Jr.,PittMi01,WR,8,IND,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,53,0,16,0,0,55,95%,
Kylen Granson,GranKy00,TE,8,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,11,0,15,0,0,32,55%,
Mo Alie-Cox,AlieMo00,TE,8,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,29,50%,
Deon Jackson,JackDe02,RB,8,IND,0,0,0,0,0,0,0,0,,1,-4,0,-4,0,0,0,0,0,0,0,2,3%,
Jimmy Garoppolo,GaroJi00,QB,8,SFO,21,25,235,2,0,3,12,56,132.5,1,3,0,3,0,0,0,0,0,0,0,53,100%,
Christian McCaffrey,McCaCh01,RB,8,SFO,1,1,34,1,0,0,0,34,158.3,18,94,1,25,9,8,55,1,14,1,0,43,81%,
Jeff Wilson,WilsJe01,RB,8,SFO,0,0,0,0,0,0,0,0,,4,14,0,12,2,2,21,0,12,0,0,19,36%,
Brandon Aiyuk,AiyuBr00,WR,8,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,81,1,34,0,0,52,98%,
Ross Dwelley,DwelRo00,TE,8,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,56,0,56,0,0,19,36%,
George Kittle,KittGe00,TE,8,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,39,1,23,0,0,53,100%,
Ray-Ray McCloud,McClRa00,WR,8,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0,30,57%,
Tyler Kroft,KrofTy00,TE,8,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,18,34%,
Matthew Stafford,StafMa00,QB,8,LAR,22,33,187,1,0,2,20,23,91.4,2,-1,1,1,0,0,0,0,0,0,0,58,100%,
Ronnie Rivers,RiveRo01,RB,8,LAR,0,0,0,0,0,0,0,0,,8,21,0,5,4,4,15,0,7,0,0,21,36%,
Darrell Henderson,HendDa00,RB,8,LAR,0,0,0,0,0,0,0,0,,4,16,0,6,2,2,14,0,7,0,0,24,41%,
Cooper Kupp,KuppCo00,WR,8,LAR,0,0,0,0,0,0,0,0,,2,10,0,5,12,8,79,1,23,0,0,55,95%,
Malcolm Brown,BrowMa03,RB,8,LAR,0,0,0,0,0,0,0,0,,5,10,0,4,0,0,0,0,0,0,0,13,22%,
Allen Robinson,RobiAl02,WR,8,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,54,0,23,0,0,54,93%,
Tyler Higbee,HigbTy00,TE,8,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,15,0,10,0,0,40,69%,
Ben Skowronek,SkowBe00,WR,8,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0,36,62%,
Daniel Jones,JoneDa05,QB,8,NYG,17,31,176,0,0,5,29,27,71.4,6,20,0,6,0,0,0,0,0,1,0,65,100%,
Saquon Barkley,BarkSa00,RB,8,NYG,0,0,0,0,0,0,0,0,,20,53,1,15,5,3,9,0,12,0,0,52,80%,
Matt Breida,BreiMa00,RB,8,NYG,0,0,0,0,0,0,0,0,,2,5,0,3,2,1,10,0,10,0,0,14,22%,
Darius Slayton,SlayDa01,WR,8,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,66,0,21,0,0,48,74%,
Tanner Hudson,HudsTa00,TE,8,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,58,0,27,0,0,47,72%,
Wan'Dale Robinson,RobiWa01,WR,8,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,9,0,0,45,69%,
Chris Myarick,MyarCh00,TE,8,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0,30,46%,
David Sills,SillDa01,WR,8,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0,10,15%,
Marcus Johnson,JohnMa07,WR,8,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,3,0,3,0,0,56,86%,
Lawrence Cager,CageLa01,TE,8,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,12,18%,
Geno Smith,SmitGe00,QB,8,SEA,23,34,212,2,0,3,22,33,104,5,26,0,14,0,0,0,0,0,0,0,64,100%,
Kenneth Walker III,WalkKe00,RB,8,SEA,0,0,0,0,0,0,0,0,,18,51,1,16,2,1,1,0,1,0,0,49,77%,
Travis Homer,HomeTr00,RB,8,SEA,0,0,0,0,0,0,0,0,,2,10,0,7,1,1,21,0,21,0,0,14,22%,
Tyler Lockett,LockTy00,WR,8,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,63,1,33,1,1,44,69%,
D.K. Metcalf,MetcDK00,WR,8,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,55,1,15,0,0,40,63%,
Marquise Goodwin,GoodMa00,WR,8,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,33,0,16,0,0,25,39%,
Noah Fant,FantNo00,TE,8,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,16,0,0,46,72%,
Will Dissly,DissWi00,TE,8,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,9,0,0,50,78%,
Colby Parkinson,ParkCo02,TE,8,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,23,36%,
D'Wayne Eskridge,EskrDW00,WR,8,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0,19,30%,
Aaron Rodgers,RodgAa00,QB,8,GNB,19,30,203,2,1,2,13,37,91.4,1,11,0,11,0,0,0,0,0,0,0,66,100%,
Aaron Jones,JoneAa00,RB,8,GNB,0,0,0,0,0,0,0,0,,20,143,0,32,5,4,14,0,7,0,0,44,67%,
AJ Dillon ,DillAJ00,RB,8,GNB,0,0,0,0,0,0,0,0,,10,54,0,27,1,1,9,0,9,0,0,28,42%,
Romeo Doubs,DoubRo00,WR,8,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,62,1,26,0,0,54,82%,
Samori Toure,TourSa00,WR,8,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,37,1,37,0,0,14,21%,
Robert Tonyan,TonyRo00,TE,8,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,35,0,15,0,0,49,74%,
Amari Rodgers,RodgAm00,WR,8,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,22,0,22,0,0,28,42%,
Christian Watson,WatsCh00,WR,8,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0,6,9%,
Josiah Deguara,DeguJo00,TE,8,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0,30,45%,
Sammy Watkins,WatkSa00,WR,8,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,52,79%,
Josh Allen,AlleJo02,QB,8,BUF,13,25,218,2,2,2,2,53,75.1,6,49,0,20,0,0,0,0,0,0,0,59,100%,
Devin Singletary,SingDe00,RB,8,BUF,0,0,0,0,0,0,0,0,,14,67,0,30,2,1,16,0,16,0,0,44,75%,
James Cook,CookJa01,RB,8,BUF,0,0,0,0,0,0,0,0,,5,35,0,17,1,1,41,0,41,0,0,15,25%,
Isaiah McKenzie,McKeIs00,WR,8,BUF,0,0,0,0,0,0,0,0,,2,2,1,7,1,1,8,0,8,0,0,31,53%,
Stefon Diggs,DiggSt00,WR,8,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,108,1,53,1,0,47,80%,
Gabriel Davis,DaviGa01,WR,8,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,35,0,29,0,0,52,88%,
Dawson Knox,KnoxDa00,TE,8,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,10,1,9,0,0,52,88%,
Khalil Shakir,ShakKh00,WR,8,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,17,29%,
Jake Kumerow,KumeJa00,WR,8,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,7,12%,
Joe Burrow,BurrJo01,QB,8,CIN,25,35,232,2,1,5,39,41,96.4,1,2,0,2,0,0,0,0,0,1,1,53,100%,
Joe Mixon,MixoJo00,RB,8,CIN,0,0,0,0,0,0,0,0,,8,27,0,6,9,7,32,0,14,0,0,38,72%,
Samaje Perine,PeriSa00,RB,8,CIN,0,0,0,0,0,0,0,0,,1,7,0,7,3,3,10,0,6,0,0,13,25%,
Tee Higgins,HiggTe00,WR,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,49,1,41,0,0,52,98%,
Hayden Hurst,HursHa00,TE,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,42,0,21,0,0,38,72%,
Tyler Boyd,BoydTy00,WR,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,38,1,14,0,0,51,96%,
Trenton Irwin,IrwiTr00,WR,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,27,0,18,0,0,23,43%,
Chris Evans,EvanCh02,RB,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,26,0,26,0,0,2,4%,
Trent Taylor,TaylTr02,WR,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,7,13%,
Mitchell Wilcox,WilcMi01,TE,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,15,28%,
Mike Thomas,ThomMi04,WR,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,24,45%,
Jacoby Brissett,BrisJa00,QB,8,CLE,17,22,278,1,0,2,10,53,133.7,6,12,1,4,0,0,0,0,0,1,1,72,100%,
Amari Cooper,CoopAm00,WR,8,CLE,0,1,0,0,1,0,0,0,0,0,0,0,0,7,5,131,1,53,0,0,57,79%,
Nick Chubb,ChubNi00,RB,8,CLE,0,0,0,0,0,0,0,0,,23,101,2,21,1,1,3,0,3,0,0,37,51%,
Kareem Hunt,HuntKa00,RB,8,CLE,0,0,0,0,0,0,0,0,,11,42,0,15,4,4,30,0,12,0,0,33,46%,
D'Ernest Johnson,JohnDE04,RB,8,CLE,0,0,0,0,0,0,0,0,,4,17,0,7,0,0,0,0,0,0,0,8,11%,
Donovan Peoples-Jones,PeopDo00,WR,8,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,81,0,37,0,0,69,96%,
David Bell,BellDa02,WR,8,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,27,0,14,0,0,34,47%,
Michael Woods II,WoodMi00,WR,8,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0,12,17%,
